ISSN," Titre"," Periodicite",Langue," Pays"," Ville d'édition"," Genre",Redacteur en chef
09925899,"Science & Vie junior","Mensuel",Français,France,Paris,Presse Jeuness,Jérôme Blanchart
00368369,"Science & Vie","Mensuel",Français,France,Montrouge,Vulgarisation scientifique,Karine Zagorili
03952037,"Le Monde","Quotidien",Français,France,Paris,Généraliste,Michel Guerrin
12411248,"Le Figaro","Quotidien",Français,France,Paris,Généraliste,Alexis Brézet
00253049,"Marie Claire","Mensuel",Français,France,Issy-les-Moulineaux,Pressse féminine,Katell Pouliquen
00387452,"Der Spiegel","Hebdomadaire",Allemand,Allemagne,Hambourg,Généraliste,Steffen Kusmann
00130613,"The Economist","Hebdomadaire",Anglais,Royaum-Uni,Londres,"Économie, politique, relations internationales, science et technologie",Zanny Minton Beddoes
10753583,"Linux Journal","Mensuel",Anglais,Etats-Unis,"Denver, Colorado",Informatique,
